Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60003117,7/5/2016,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,1/21/2017,I3 Performance,1/19/2017,99634,HQ HR Systems,,Male,10/13/1956,Principal IT Business Systems Analyst
60003123,7/8/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,3/31/2017,I2 Disciplinary action,3/24/2017,214-K066,XL3 Components,,Male,7/12/1959,Production Associate
60003125,6/2/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,7/8/2017,161159,Fin. Ably MK100 MOD9,,unknown,,
60003128,7/10/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/4/2017,161167,MK100 Valves EUV/SG,OP,unknown,,
60003129,7/8/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,7/8/2017,161150,Bracketing,OP,unknown,,Temporary / Contingent
60003131,7/11/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/13/2017,161157,Fin. Ably MK25E MOD6,PR,unknown,,
60003132,7/10/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/27/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60003137,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,7/9/2017,12250,MV Pass/LT F.F.,PR,Male,10/6/1994,Rework/Repair Operator Final Finish MVN-
60003141,1/9/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V9 Job dissatisfaction,2/21/2017,12240,MV Pass/LT Curing,,Male,8/5/1997,
60003145,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,I2 Disciplinary action,1/29/2017,22070,MV CF Pass Curing,PR,Male,8/17/1984,
60003155,7/5/2016,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,7/5/2017,163144,MKxxE Machining,OP,Male,3/11/1968,Temporary / Contingent
60003158,6/27/2016,30 Termination,"AZ, Phoenix",US-All-Best Drive,3/28/2017,I5 Excessive absenteeism,3/17/2017,98002,BD Sales Phoenix,,Male,2/14/1982,Supervisor Customer Service
60003159,7/12/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,1/15/2017,12570,MV Shipping and Whse,PR,Male,8/31/1986,
60003162,7/7/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,4/15/2017,2301202050,Ext Asse. Labor AIS,PR,Male,1/1/1990,Temporary / Contingent
60003168,7/17/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,6/21/2017,2301202040,Ext Finish Labor A,PR,Female,1/1/1990,Temporary / Contingent
60003171,10/1/2015,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,2/21/2017,VE End of assignment,2/28/2017,ADAS-2264,ADAS Billout Lindau,,Male,10/10/1990,Development Engineer
60003185,7/11/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,1/18/2017,I5 Excessive absenteeism,1/17/2017,54-1202,Prodn Line Cost Coll,,Female,9/13/1986,Manufacturing Associate I
60003187,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/21/2017,I2 Disciplinary action,8/16/2017,12610,MV PLT Tire Reliabil,,Male,11/17/1986,Quality Technician II
60003191,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,10/17/2017,V5 Job abandonment,10/16/2017,12610,MV PLT Tire Reliabil,,Male,7/2/1985,Quality Technician II
60003208,7/11/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,4/1/2017,1862177,PRODUCTION ADMIN,,unknown,,Temporary / Contingent
60003220,7/13/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,7/13/2017,1862177,PRODUCTION ADMIN,PR,unknown,,
60003226,7/15/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,7/16/2017,12530,MV Receiving,PR,Female,5/2/1977,
60003228,7/15/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,1/1/2017,12610,MV PLT Tire Reliabil,PR,Male,1/24/1992,
60003229,7/15/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,2/15/2017,12240,MV Pass/LT Curing,PR,Male,10/27/1997,Truck Driver MVN-203
60003231,7/15/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,3/27/2017,I2 Disciplinary action,3/13/2017,214-958,Deka Rail,,Female,6/9/1992,Production Associate
60003237,7/18/2016,30 Termination,Deer Park-CAS,US-IL-Deer Park-CAS Inc.,2/3/2017,I3 Performance,2/1/2017,57-8128,S&A EES S&D,,Female,5/23/1973,Engineering Assistant I
60003238,7/20/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/17/2017,761175,EAS Production,PR,unknown,,Temporary / Contingent
60003241,7/20/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/22/2017,161152,Prod. Wash MOR,OP,unknown,,Temporary / Contingent
60003242,7/20/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/9/2017,761175,EAS Production,PR,unknown,,
60003246,7/18/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,5/22/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60003248,7/13/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,9/14/2017,V3 Accepted other employment,9/12/2017,1862177,PRODUCTION ADMIN,,Male,1/22/1984,Assembler
60003262,8/3/2003,30 Termination,Rochester NH,US-NH-Rochester-CT Tpol,2/21/2017,VE End of assignment,2/28/2017,2301219720,Company Mgmt,,Female,6/2/1984,Project Engineer
60003272,7/18/2016,30 Termination,AH-S.PT-Holding,US-MI-AH-South-CAS,5/30/2017,T5 End of intership,4/26/2017,205-P927,ES SE SW Customer,,Male,12/13/1982,Intern/Student Program - Technical
60003279,7/20/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,7/19/2017,12250,MV Pass/LT F.F.,PR,Male,1/16/1990,
60003280,7/20/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,6/26/2017,10075,Mold Services Labor,PR,Male,5/13/1998,
60003284,7/20/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,3/30/2017,V5 Job abandonment,3/22/2017,214-K061,XL3 Fuel Rail,,Male,6/19/1972,Production Associate
60003286,7/20/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,8/3/2017,V0 Resignation unknown/Other,7/26/2017,214-941,Components Machining,,Female,9/2/1992,Production Associate
60003289,7/20/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/12/2017,V3 Accepted other employment,5/2/2017,214-K073,Variable Maintenance,,Male,10/1/1955,Maintenance Repair
60003303,1/26/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,10/3/2017,V0 Resignation unknown/Other,9/27/2017,54-1202,Prodn Line Cost Coll,,Male,3/13/1985,Manufacturing Associate I
60003310,6/13/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,7/5/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003311,11/29/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/7/2017,V0 Resignation unknown/Other,7/31/2017,54-1202,Prodn Line Cost Coll,,Male,11/16/1997,Manufacturing Associate I
60003317,7/12/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/13/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60003326,2/3/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,3/7/2017,I5 Excessive absenteeism,3/3/2017,54-1202,Prodn Line Cost Coll,,Female,5/7/1995,Manufacturing Associate I
60003336,7/19/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/1/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60003341,7/19/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,7/3/2017,54-1202,Prodn Line Cost Coll,EN,unknown,,Temporary / Contingent
60003345,7/19/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/17/2017,54-4362,COM Recv / Frt / Dut,PR,unknown,,
60003357,7/25/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2/13/2017,V5 Job abandonment,2/7/2017,80680,Final Finishing,,Male,12/19/1988,Visual Inspector SMT-003
60003359,8/29/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,9/28/2017,T2 Family issues,9/26/2017,1862177,PRODUCTION ADMIN,,Female,1/29/1992,CNC Set-Up/Operator
60003372,7/25/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,6/16/2017,V0 Resignation unknown/Other,6/15/2017,54-1202,Prodn Line Cost Coll,,Female,8/3/1992,Manufacturing Associate I
60003378,7/25/2016,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,7/31/2017,T5 End of intership,7/28/2017,1864502,FND DYNO LAB,,Male,8/27/1996,Intern/Student Program - Technical
60003384,7/25/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/5/2017,V5 Job abandonment,5/4/2017,22060,MV CF Tire Assem PLT,,Female,5/2/1994,Tire Builder Operator MVN-222
60003395,7/25/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,5/4/2017,I2 Disciplinary action,4/27/2017,70610,Mixing,,Female,7/19/1989,Chemical Weighing Operator SMT-002
60003397,7/25/2016,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,4/12/2017,V0 Resignation unknown/Other,3/9/2017,80660,Tire Building,,Male,6/3/1985,Tire Builder Operator SMT-004
60003407,9/18/2017,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,10/9/2017,V5 Job abandonment,10/2/2017,2301203040,Weld-Perif/Frimo/KLN,,Male,6/19/1998,Operator SOM-002
60003414,8/5/2016,32 Termination external,Somersworth,US-NH-Somersworth-CT Tpol,,V0 Resignation unknown/Other,4/3/2017,2301203030,BM Machine&Proctect,PR,unknown,1/1/1970,Temporary / Contingent
60003418,7/25/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/14/2017,161152,Prod. Wash MOR,OP,unknown,,
60003424,7/29/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,1/30/2017,12250,MV Pass/LT F.F.,PR,Male,7/27/1992,
60003425,7/29/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,6/14/2017,V0 Resignation unknown/Other,5/8/2017,214-941,Components Machining,,Male,8/28/1997,Production Machinist
60003428,7/29/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,9/5/2017,V5 Job abandonment,8/13/2017,214-941,Components Machining,,Female,7/22/1963,Quality Operator
60003432,7/29/2016,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,5/25/2017,163144,MKxxE Machining,PR,Male,1/1/1980,Temporary / Contingent
60003437,7/29/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,7/30/2017,161151,EBS Service,PR,unknown,,Temporary / Contingent
60003438,7/29/2016,32 Termination external,Culpeper,US-VA-Culpeper-CAS Inc.,,V0 Resignation unknown/Other,3/8/2017,163149,Production Variable,PR,Male,3/21/1994,Temporary / Contingent
60003439,12/1/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,6/19/2017,V0 Resignation unknown/Other,6/17/2017,54-1202,Prodn Line Cost Coll,,Female,10/30/1996,Manufacturing Associate I
60003443,4/18/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,5/30/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003446,4/18/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,5/1/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003450,7/26/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/1/2017,54-0700,Bldg/Facility COMMON,FM,unknown,,Temporary / Contingent
60003465,8/15/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,4/10/2017,V3 Accepted other employment,4/10/2017,1862177,PRODUCTION ADMIN,,Male,3/14/1993,Facil. Systems Operator
60003467,7/25/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,6/30/2017,V5 Job abandonment,6/30/2017,1862177,PRODUCTION ADMIN,,Male,2/7/1985,Machine Operator
60003472,7/27/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,4/1/2017,1862177,PRODUCTION ADMIN,GA,unknown,,Temporary / Contingent
60003473,7/27/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,1/3/2017,1862177,PRODUCTION ADMIN,PR,unknown,,
60003481,8/3/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,I5 Excessive absenteeism,7/23/2017,12250,MV Pass/LT F.F.,PR,Male,9/29/1995,
60003485,8/3/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,2/5/2017,12270,MV Truck F.F.,PR,Male,11/7/1970,Inspector I
60003495,3/6/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/8/2017,161157,Fin. Ably MK25E MOD6,,unknown,,
60003497,8/4/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,1/27/2017,761175,EAS Production,PR,unknown,,Temporary / Contingent
60003498,8/3/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/5/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,
60003499,8/3/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,3/9/2017,161148,Pre Assembly,OP,unknown,,Temporary / Contingent
60003500,8/2/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/4/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60003501,8/3/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/20/2017,161152,Prod. Wash MOR,OP,unknown,,Temporary / Contingent
60003502,8/3/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,4/3/2017,161150,Bracketing,OP,unknown,,
60003509,8/8/2016,30 Termination,Deer Park-CAS,US-IL-Deer Park-CAS Inc.,5/22/2017,V0 Resignation unknown/Other,5/18/2017,57-9026,GM Global Selling,,Male,12/25/1970,Project Manager (Indiv)
60003512,8/2/2016,30 Termination,Santa Teresa,US-NM-Santa Teresa-CAS Inc.,7/31/2017,V8 Relocation,7/28/2017,203-7951,SCM Warehouse Outbou,,Female,8/24/1972,Logistics Assistant II
60003516,8/8/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,2/22/2017,12240,MV Pass/LT Curing,PR,Male,12/31/1992,
60003517,8/8/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,6/14/2017,I2 Disciplinary action,6/9/2017,1862177,PRODUCTION ADMIN,,Male,10/31/1963,Area Manager
60003534,8/8/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,1/18/2017,I5 Excessive absenteeism,1/17/2017,54-1202,Prodn Line Cost Coll,,Female,1/29/1997,Manufacturing Associate I
60003542,8/1/2016,32 Termination external,Fletcher,US-NC-Fletcher-CAS Inc.,,V0 Resignation unknown/Other,5/4/2017,1862177,PRODUCTION ADMIN,PR,unknown,,Temporary / Contingent
60003553,8/8/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/14/2017,V3 Accepted other employment,2/5/2017,12170,MV Tire Assembly PLT,,Male,5/19/1974,Tire Builder Operator MVN-222
60003554,8/8/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/24/2017,V9 Job dissatisfaction,2/23/2017,12120,MV Stock Prep,,Male,10/17/1983,Cutting/Slitting Machine Operator MVN-21
60003563,6/17/2017,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/5/2017,161159,Fin. Ably MK100 MOD9,,unknown,,Temporary / Contingent
60003566,8/8/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/13/2017,161148,Pre Assembly,OP,unknown,,Temporary / Contingent
60003567,8/8/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,8/12/2017,161152,Prod. Wash MOR,OP,unknown,,Temporary / Contingent
60003570,1/9/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/22/2017,I4 Failed probation period,6/20/2017,12030,MV Mixing,,Male,11/11/1990,Mixer Machine Operator MVN-209
60003571,1/9/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/23/2017,V3 Accepted other employment,8/22/2017,22060,MV CF Tire Assem PLT,,Male,11/19/1996,Tire Builder Operator MVN-222
60003575,8/10/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,VE End of assignment,1/1/2017,12610,MV PLT Tire Reliabil,PR,Male,3/18/1998,Technician I
60003577,8/8/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,10/4/2017,V3 Accepted other employment,10/1/2017,22040,MV CF Stock Prep,,Male,8/10/1969,Truck Driver MVN-203
60003586,8/2/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2/24/2017,54-1202,Prodn Line Cost Coll,EN,unknown,,Temporary / Contingent
60003587,8/2/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,4/26/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60003589,8/2/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,8/22/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60003601,8/15/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/26/2017,IM Migration term.involuntary,6/22/2017,2301258210,QC Inspection,,Female,8/17/1988,Quality Inspector I SOM-003
60003604,8/9/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,1/23/2017,161158,Fin. Ably MK25E MOD7,PR,unknown,,Temporary / Contingent
60003605,8/9/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/27/2017,161157,Fin. Ably MK25E MOD6,OP,unknown,,Temporary / Contingent
60003606,8/10/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,2/27/2017,161159,Fin. Ably MK100 MOD9,OP,unknown,,Temporary / Contingent
60003609,8/11/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,1/23/2017,161159,Fin. Ably MK100 MOD9,PR,unknown,,
60003610,8/1/2011,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,8/2/2017,V3 Accepted other employment,6/30/2017,964475,Wheel Speed Sen Dsgn,,Male,12/11/1986,Project Engineer
60003614,8/12/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,6/28/2017,I5 Excessive absenteeism,6/20/2017,214-K058,GHPP,,Female,4/17/1992,Production Associate
60003618,8/12/2016,32 Termination external,Morganton,US-NC-Morganton-CAS Inc.,,V0 Resignation unknown/Other,6/30/2017,161150,Bracketing,OP,unknown,,
60003635,3/17/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/30/2017,V3 Accepted other employment,8/28/2017,54-1202,Prodn Line Cost Coll,,Female,8/23/1964,Manufacturing Associate I
60003637,8/9/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2/23/2017,54-1202,Prodn Line Cost Coll,PR,unknown,,Temporary / Contingent
60003642,5/23/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,6/10/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003643,3/14/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,6/1/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003645,2/17/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,4/10/2017,V0 Resignation unknown/Other,4/5/2017,54-1202,Prodn Line Cost Coll,,Male,6/10/1965,Manufacturing Associate I
60003646,5/16/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,5/30/2017,54-4362,COM Recv / Frt / Dut,,unknown,,Temporary / Contingent
60003647,7/18/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,8/22/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003648,4/18/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,5/23/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003650,8/6/2007,30 Termination,AH-North CAS,US-MI-AH-North-CAS Inc.,7/24/2017,VE End of assignment,7/31/2017,166091,Billout Silao,,Male,3/12/1984,Sr Staff Development Engineer
60003663,8/15/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,3/15/2017,V3 Accepted other employment,3/14/2017,1862177,PRODUCTION ADMIN,,Male,3/10/1998,Assembler
60003669,11/7/2016,30 Termination,Fletcher,US-NC-Fletcher-CAS Inc.,2/13/2017,V1 Mutual agreement,2/8/2017,1862177,PRODUCTION ADMIN,,Male,8/26/1996,Machine Operator
60003679,8/15/2016,30 Termination,Halstead,US-KS-Halstead-CT Legg,3/8/2017,V0 Resignation unknown/Other,3/17/2017,11000,General production,,Male,9/17/1971,Production Administrator
60003681,5/8/2010,30 Termination,Halstead,US-KS-Halstead-CT Legg,9/12/2017,V3 Accepted other employment,9/8/2017,11000,General production,,Male,5/27/1987,Calendar Machine Operator HAL-003
60003684,1/9/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/22/2017,I4 Failed probation period,6/21/2017,12030,MV Mixing,,Male,9/17/1997,Mixer Machine Operator MVN-209
60003685,8/17/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,4/27/2017,12530,MV Receiving,PR,Male,5/10/1963,Truck Operator MVN-002
60003688,8/17/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,I5 Excessive absenteeism,6/14/2017,12270,MV Truck F.F.,PR,Male,3/1/1988,
60003692,1/9/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,10/11/2017,I5 Excessive absenteeism,10/10/2017,12250,MV Pass/LT F.F.,,Male,9/28/1995,Repair Worker  MVN-211
60003693,8/17/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,5/4/2017,I4 Failed probation period,4/28/2017,214-K058,GHPP,,Male,10/27/1990,Production Associate
60003694,8/17/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,4/12/2017,V5 Job abandonment,4/3/2017,214-K058,GHPP,,Male,8/15/1964,Production Associate
60003695,8/17/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,4/6/2017,V3 Accepted other employment,3/29/2017,214-K058,GHPP,,Male,2/13/1965,Production Associate
60003699,8/17/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,4/12/2017,I2 Disciplinary action,4/5/2017,214-286,SCM - Warehouse,,Male,11/3/1969,Production Associate
60003709,8/17/2016,30 Termination,Newport News,US-VA-Newport News-C Auto Sys,1/26/2017,V0 Resignation unknown/Other,1/12/2017,214-K045,SCR,,Male,8/14/1996,Production Associate
60003722,8/22/2016,30 Termination,Deer Park-CAS,US-IL-Deer Park-CAS Inc.,1/26/2017,I3 Performance,1/25/2017,57-3407,BU TR Quality Mgmt,,Male,12/20/1970,Sr Supplier Quality Specialist
60003723,8/16/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/1/2017,54-1202,Prodn Line Cost Coll,GA,unknown,,Temporary / Contingent
60003724,11/29/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,5/30/2017,V0 Resignation unknown/Other,5/26/2017,54-1202,Prodn Line Cost Coll,,Male,5/9/1995,Manufacturing Associate I
60003725,11/29/2016,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/24/2017,V0 Resignation unknown/Other,8/23/2017,54-1202,Prodn Line Cost Coll,,Female,8/22/1993,Manufacturing Associate I
60003727,1/3/2017,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/19/2017,54-1202,Prodn Line Cost Coll,,unknown,,Temporary / Contingent
60003729,8/16/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2/21/2017,54-1202,Prodn Line Cost Coll,GA,unknown,,Temporary / Contingent
60003730,8/16/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,1/1/2017,54-1202,Prodn Line Cost Coll,GA,unknown,,Temporary / Contingent
60003731,8/16/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,5/1/2017,54-1202,Prodn Line Cost Coll,GA,unknown,,Temporary / Contingent
60003734,8/16/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,2/28/2017,54-1202,Prodn Line Cost Coll,GA,unknown,,Temporary / Contingent
60003735,1/9/2017,30 Termination,Seguin CAS,US-TX-Seguin-CAS Inc.,8/22/2017,T1 Need for care of a relative,8/18/2017,54-4362,COM Recv / Frt / Dut,,Male,9/20/1967,Material Handler I
60003739,8/16/2016,32 Termination external,Seguin CAS,US-TX-Seguin-CAS Inc.,,V0 Resignation unknown/Other,6/5/2017,54-4362,COM Recv / Frt / Dut,GA,unknown,,Temporary / Contingent
60003741,8/22/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,T6 End of work contract,8/29/2017,12250,MV Pass/LT F.F.,PR,Male,11/19/1982,
